epoch,human_srcc,human_acc5,human_acc10,srcc,acc5,acc10
0,0.73,0.535,0.705,0.747,0.523,0.718
1,0.75,0.452,0.659,0.75,0.484,0.667
2,0.751,0.526,0.712,0.755,0.52,0.693
3,0.725,0.486,0.674,0.739,0.501,0.679
4,0.704,0.424,0.603,0.704,0.479,0.647
5,0.745,0.501,0.72,0.769,0.528,0.7
6,0.737,0.465,0.672,0.757,0.534,0.701
7,0.759,0.517,0.707,0.775,0.532,0.709
8,0.752,0.513,0.741,0.779,0.55,0.722
9,0.757,0.497,0.729,0.745,0.533,0.711
10,0.738,0.529,0.727,0.758,0.552,0.728
11,0.759,0.561,0.762,0.769,0.568,0.741
12,0.755,0.471,0.651,0.768,0.543,0.704
13,0.739,0.535,0.731,0.776,0.538,0.726
14,0.758,0.514,0.711,0.782,0.556,0.736
15,0.756,0.489,0.704,0.779,0.537,0.719
16,0.767,0.58,0.751,0.771,0.569,0.731
17,0.762,0.545,0.711,0.774,0.548,0.722
18,0.756,0.54,0.723,0.782,0.548,0.719
19,0.764,0.623,0.783,0.781,0.573,0.743
20,0.767,0.567,0.725,0.791,0.578,0.733
21,0.75,0.555,0.73,0.783,0.564,0.734
22,0.757,0.531,0.701,0.783,0.56,0.729
23,0.755,0.549,0.727,0.785,0.562,0.733
24,0.766,0.537,0.701,0.785,0.56,0.723
25,0.763,0.564,0.714,0.787,0.565,0.721
26,0.763,0.554,0.715,0.787,0.556,0.721
27,0.761,0.555,0.71,0.788,0.554,0.721
28,0.763,0.554,0.715,0.788,0.557,0.724
29,0.762,0.552,0.718,0.787,0.557,0.723
best human_srcc(epoch-16),0.767,0.58,0.751,0.771,0.569,0.731
best human_acc5(epoch-19),0.764,0.623,0.783,0.781,0.573,0.743
best human_acc10(epoch-19),0.764,0.623,0.783,0.781,0.573,0.743
best srcc(epoch-20),0.767,0.567,0.725,0.791,0.578,0.733
best acc5(epoch-20),0.767,0.567,0.725,0.791,0.578,0.733
best acc10(epoch-19),0.764,0.623,0.783,0.781,0.573,0.743
