epoch,human_srcc,human_acc5,human_acc10,srcc,acc5,acc10
0,0.762,0.471,0.685,0.745,0.517,0.686
1,0.721,0.426,0.624,0.742,0.478,0.661
2,0.751,0.503,0.682,0.735,0.517,0.682
3,0.76,0.48,0.695,0.772,0.511,0.696
4,0.726,0.46,0.613,0.732,0.477,0.65
5,0.776,0.487,0.668,0.772,0.547,0.716
6,0.775,0.521,0.718,0.76,0.566,0.735
7,0.754,0.459,0.652,0.76,0.543,0.698
8,0.762,0.585,0.757,0.752,0.568,0.714
9,0.749,0.432,0.625,0.754,0.521,0.71
10,0.744,0.501,0.684,0.771,0.542,0.7
11,0.779,0.552,0.733,0.779,0.574,0.73
12,0.759,0.561,0.738,0.767,0.551,0.724
13,0.757,0.525,0.733,0.777,0.565,0.737
14,0.766,0.495,0.699,0.774,0.564,0.741
15,0.752,0.551,0.715,0.754,0.573,0.728
16,0.752,0.537,0.7,0.743,0.555,0.696
17,0.744,0.446,0.657,0.768,0.539,0.706
18,0.765,0.507,0.688,0.769,0.528,0.705
19,0.763,0.553,0.72,0.777,0.562,0.728
20,0.769,0.552,0.737,0.771,0.561,0.735
21,0.771,0.537,0.719,0.785,0.569,0.739
22,0.761,0.58,0.748,0.765,0.554,0.718
23,0.783,0.579,0.763,0.78,0.562,0.73
24,0.769,0.538,0.726,0.767,0.565,0.716
25,0.772,0.548,0.726,0.781,0.555,0.739
26,0.769,0.516,0.705,0.779,0.53,0.714
27,0.775,0.539,0.744,0.768,0.528,0.689
28,0.772,0.532,0.697,0.778,0.548,0.721
29,0.764,0.449,0.638,0.773,0.518,0.681
30,0.774,0.533,0.71,0.765,0.546,0.705
31,0.783,0.512,0.717,0.78,0.55,0.717
32,0.771,0.54,0.73,0.775,0.555,0.719
33,0.763,0.505,0.695,0.781,0.537,0.711
34,0.769,0.54,0.693,0.774,0.541,0.701
35,0.781,0.549,0.721,0.779,0.545,0.718
36,0.773,0.505,0.685,0.781,0.548,0.714
37,0.778,0.524,0.702,0.777,0.536,0.699
38,0.781,0.557,0.735,0.786,0.558,0.735
39,0.781,0.535,0.725,0.786,0.541,0.724
40,0.778,0.568,0.733,0.777,0.568,0.721
41,0.777,0.529,0.724,0.783,0.543,0.717
42,0.766,0.527,0.692,0.778,0.539,0.706
43,0.781,0.555,0.736,0.783,0.536,0.706
44,0.781,0.534,0.706,0.786,0.536,0.697
45,0.773,0.544,0.728,0.776,0.534,0.71
46,0.779,0.571,0.759,0.778,0.555,0.719
47,0.768,0.531,0.7,0.778,0.562,0.718
48,0.773,0.585,0.759,0.774,0.549,0.708
49,0.775,0.593,0.745,0.775,0.574,0.723
50,0.785,0.573,0.738,0.778,0.552,0.711
51,0.78,0.57,0.74,0.786,0.543,0.726
52,0.789,0.565,0.723,0.791,0.559,0.718
53,0.784,0.478,0.652,0.79,0.525,0.69
54,0.772,0.565,0.731,0.776,0.549,0.715
55,0.787,0.552,0.741,0.788,0.554,0.721
56,0.771,0.515,0.703,0.782,0.547,0.709
57,0.791,0.586,0.752,0.78,0.562,0.726
58,0.779,0.543,0.705,0.786,0.54,0.708
59,0.776,0.528,0.701,0.785,0.546,0.71
60,0.786,0.557,0.723,0.781,0.56,0.719
61,0.774,0.557,0.728,0.781,0.551,0.713
62,0.778,0.564,0.735,0.778,0.546,0.703
63,0.776,0.546,0.712,0.787,0.545,0.707
64,0.778,0.565,0.746,0.777,0.549,0.7
65,0.782,0.588,0.738,0.779,0.568,0.721
66,0.78,0.58,0.749,0.785,0.558,0.714
67,0.782,0.578,0.747,0.79,0.566,0.719
68,0.783,0.555,0.718,0.785,0.565,0.721
69,0.779,0.554,0.742,0.785,0.557,0.723
70,0.778,0.556,0.738,0.781,0.559,0.715
71,0.779,0.553,0.737,0.782,0.564,0.727
72,0.776,0.542,0.718,0.782,0.567,0.727
73,0.776,0.568,0.738,0.781,0.551,0.709
74,0.775,0.54,0.709,0.782,0.541,0.694
75,0.78,0.561,0.723,0.781,0.551,0.709
76,0.781,0.568,0.714,0.781,0.559,0.704
77,0.782,0.577,0.747,0.783,0.567,0.719
78,0.781,0.57,0.727,0.783,0.551,0.708
79,0.784,0.579,0.742,0.787,0.561,0.715
80,0.781,0.547,0.709,0.786,0.557,0.708
81,0.78,0.557,0.726,0.783,0.56,0.716
82,0.778,0.55,0.72,0.78,0.551,0.704
83,0.781,0.565,0.73,0.783,0.555,0.713
84,0.78,0.562,0.728,0.782,0.56,0.709
85,0.777,0.55,0.713,0.779,0.562,0.71
86,0.784,0.555,0.715,0.783,0.561,0.711
87,0.78,0.557,0.716,0.782,0.558,0.708
88,0.781,0.555,0.71,0.782,0.559,0.709
89,0.781,0.56,0.725,0.78,0.554,0.708
90,0.779,0.557,0.715,0.782,0.555,0.707
91,0.78,0.545,0.712,0.78,0.55,0.701
92,0.779,0.552,0.715,0.781,0.555,0.705
93,0.78,0.554,0.715,0.78,0.554,0.705
94,0.78,0.559,0.718,0.78,0.556,0.706
95,0.78,0.557,0.719,0.78,0.557,0.705
96,0.779,0.555,0.718,0.78,0.555,0.705
97,0.78,0.56,0.717,0.78,0.556,0.705
98,0.78,0.556,0.715,0.78,0.555,0.705
99,0.78,0.556,0.715,0.78,0.556,0.705
best human_srcc(epoch-57),0.791,0.586,0.752,0.78,0.562,0.726
best human_acc5(epoch-49),0.775,0.593,0.745,0.775,0.574,0.723
best human_acc10(epoch-23),0.783,0.579,0.763,0.78,0.562,0.73
best srcc(epoch-52),0.789,0.565,0.723,0.791,0.559,0.718
best acc5(epoch-11),0.779,0.552,0.733,0.779,0.574,0.73
best acc10(epoch-14),0.766,0.495,0.699,0.774,0.564,0.741
