epoch,human_srcc,human_acc5,human_acc10,srcc,acc5,acc10
0,0.738,0.476,0.649,0.743,0.499,0.673
1,0.728,0.513,0.675,0.754,0.494,0.687
2,0.767,0.482,0.672,0.76,0.536,0.705
3,0.767,0.492,0.68,0.765,0.519,0.712
4,0.731,0.407,0.598,0.745,0.496,0.656
5,0.754,0.521,0.701,0.752,0.531,0.694
6,0.754,0.532,0.688,0.739,0.527,0.696
7,0.758,0.489,0.705,0.754,0.513,0.701
8,0.76,0.52,0.687,0.752,0.51,0.691
9,0.771,0.52,0.721,0.766,0.52,0.703
10,0.758,0.47,0.655,0.763,0.521,0.693
11,0.764,0.502,0.679,0.779,0.528,0.706
12,0.78,0.51,0.703,0.772,0.55,0.708
13,0.758,0.499,0.657,0.756,0.503,0.664
14,0.779,0.51,0.693,0.778,0.547,0.711
15,0.768,0.562,0.733,0.761,0.542,0.709
16,0.762,0.465,0.671,0.775,0.501,0.692
17,0.765,0.528,0.718,0.769,0.516,0.697
18,0.778,0.53,0.712,0.779,0.525,0.699
19,0.76,0.506,0.698,0.755,0.512,0.678
20,0.776,0.514,0.699,0.773,0.531,0.698
21,0.774,0.491,0.685,0.774,0.524,0.695
22,0.757,0.491,0.665,0.759,0.519,0.685
23,0.775,0.509,0.702,0.769,0.501,0.701
24,0.757,0.536,0.703,0.765,0.514,0.692
25,0.767,0.508,0.686,0.775,0.494,0.68
26,0.752,0.5,0.692,0.766,0.503,0.686
27,0.782,0.598,0.77,0.774,0.546,0.724
28,0.762,0.529,0.692,0.769,0.52,0.694
29,0.769,0.588,0.765,0.773,0.533,0.703
30,0.775,0.569,0.763,0.773,0.536,0.713
31,0.782,0.546,0.728,0.785,0.518,0.692
32,0.763,0.469,0.671,0.779,0.506,0.686
33,0.769,0.534,0.708,0.782,0.524,0.696
34,0.783,0.522,0.695,0.784,0.501,0.683
35,0.768,0.523,0.693,0.779,0.519,0.696
36,0.773,0.573,0.73,0.779,0.536,0.712
37,0.77,0.557,0.716,0.779,0.52,0.699
38,0.776,0.574,0.74,0.781,0.526,0.698
39,0.777,0.522,0.709,0.786,0.511,0.695
40,0.781,0.544,0.736,0.78,0.52,0.7
41,0.763,0.527,0.69,0.776,0.523,0.69
42,0.777,0.542,0.685,0.784,0.517,0.685
43,0.777,0.567,0.72,0.788,0.527,0.694
44,0.78,0.535,0.691,0.782,0.51,0.681
45,0.779,0.586,0.737,0.783,0.539,0.702
46,0.764,0.519,0.689,0.778,0.505,0.682
47,0.784,0.524,0.686,0.784,0.512,0.676
48,0.773,0.58,0.73,0.783,0.53,0.706
49,0.782,0.525,0.692,0.789,0.496,0.682
50,0.775,0.554,0.699,0.776,0.513,0.686
51,0.788,0.621,0.761,0.787,0.537,0.71
52,0.777,0.553,0.698,0.782,0.511,0.677
53,0.783,0.564,0.72,0.784,0.526,0.693
54,0.779,0.582,0.718,0.785,0.529,0.687
55,0.775,0.563,0.695,0.786,0.516,0.689
56,0.776,0.562,0.708,0.784,0.526,0.693
57,0.776,0.554,0.699,0.787,0.511,0.682
58,0.777,0.558,0.71,0.783,0.511,0.686
59,0.775,0.575,0.718,0.783,0.529,0.692
60,0.779,0.573,0.711,0.786,0.522,0.693
61,0.772,0.57,0.7,0.784,0.517,0.686
62,0.778,0.575,0.703,0.786,0.513,0.678
63,0.775,0.56,0.692,0.785,0.515,0.689
64,0.773,0.583,0.715,0.784,0.521,0.687
65,0.775,0.578,0.7,0.785,0.516,0.683
66,0.772,0.586,0.712,0.784,0.518,0.682
67,0.772,0.575,0.704,0.784,0.521,0.687
68,0.773,0.583,0.711,0.784,0.521,0.688
69,0.771,0.583,0.711,0.784,0.52,0.688
70,0.771,0.588,0.716,0.784,0.522,0.69
71,0.769,0.57,0.686,0.783,0.506,0.678
72,0.769,0.57,0.693,0.783,0.511,0.686
73,0.769,0.563,0.699,0.782,0.51,0.684
74,0.769,0.579,0.707,0.783,0.513,0.687
75,0.768,0.575,0.705,0.782,0.516,0.688
76,0.768,0.584,0.712,0.782,0.515,0.687
77,0.768,0.572,0.695,0.782,0.513,0.685
78,0.769,0.574,0.699,0.782,0.514,0.686
79,0.769,0.574,0.699,0.782,0.513,0.686
best human_srcc(epoch-51),0.788,0.621,0.761,0.787,0.537,0.71
best human_acc5(epoch-51),0.788,0.621,0.761,0.787,0.537,0.71
best human_acc10(epoch-27),0.782,0.598,0.77,0.774,0.546,0.724
best srcc(epoch-49),0.782,0.525,0.692,0.789,0.496,0.682
best acc5(epoch-12),0.78,0.51,0.703,0.772,0.55,0.708
best acc10(epoch-27),0.782,0.598,0.77,0.774,0.546,0.724
